NACA 0008 Airfoil M=0.0% P=0.0% T=8.0%
  1.000000  0.000840
  0.998459  0.000984
  0.993844  0.001414
  0.986185  0.002121
  0.975528  0.003095
  0.961940  0.004318
  0.945503  0.005772
  0.926320  0.007433
  0.904508  0.009276
  0.880203  0.011276
  0.853553  0.013405
  0.824724  0.015635
  0.793893  0.017937
  0.761249  0.020282
  0.726995  0.022642
  0.691342  0.024984
  0.654508  0.027278
  0.616723  0.029491
  0.578217  0.031589
  0.539230  0.033535
  0.500000  0.035294
  0.460770  0.036827
  0.421783  0.038099
  0.383277  0.039073
  0.345492  0.039716
  0.308658  0.040000
  0.273005  0.039899
  0.238751  0.039395
  0.206107  0.038476
  0.175276  0.037139
  0.146447  0.035389
  0.119797  0.033236
  0.095492  0.030699
  0.073680  0.027804
  0.054497  0.024578
  0.038060  0.021053
  0.024472  0.017262
  0.013815  0.013236
  0.006156  0.009002
  0.001541  0.004584
  0.000000  0.000000
  0.001541 -0.004584
  0.006156 -0.009002
  0.013815 -0.013236
  0.024472 -0.017262
  0.038060 -0.021053
  0.054497 -0.024578
  0.073680 -0.027804
  0.095492 -0.030699
  0.119797 -0.033236
  0.146447 -0.035389
  0.175276 -0.037139
  0.206107 -0.038476
  0.238751 -0.039395
  0.273005 -0.039899
  0.308658 -0.040000
  0.345492 -0.039716
  0.383277 -0.039073
  0.421783 -0.038099
  0.460770 -0.036827
  0.500000 -0.035294
  0.539230 -0.033535
  0.578217 -0.031589
  0.616723 -0.029491
  0.654508 -0.027278
  0.691342 -0.024984
  0.726995 -0.022642
  0.761249 -0.020282
  0.793893 -0.017937
  0.824724 -0.015635
  0.853553 -0.013405
  0.880203 -0.011276
  0.904508 -0.009276
  0.926320 -0.007433
  0.945503 -0.005772
  0.961940 -0.004318
  0.975528 -0.003095
  0.986185 -0.002121
  0.993844 -0.001414
  0.998459 -0.000984
  1.000000 -0.000840
